Time,Device_ID,Type,Mine_N,Mine_E,Altitude,Status
02/09/2023 00:30,004,LANDMOS,1225.278,-5030.798,444.577,0
02/09/2023 00:30,007,LANDMOS,4830.342,-5535.127,483.383,0
31/08/2023 11:15,001,LANDMOS,706.613,-5172.029,476.997,0
31/08/2023 11:15,008,LANDMOS,3345.890,-950.286,211.781,4
31/08/2023 11:15,006,LANDMOS,5485.065,-5178.873,487.344,0
31/08/2023 11:15,002,LANDMOS,5275.404,-5424.423,484.862,0
31/08/2023 11:15,005,LANDMOS,5054.193,-5250.482,474.158,0
31/08/2023 11:15,004,LANDMOS,1225.293,-5030.809,444.566,0
31/08/2023 11:15,003,LANDMOS,1611.322,-5261.432,464.952,0
31/08/2023 11:15,009,LANDMOS,244.679,1101.581,362.450,0
31/08/2023 11:15,007,LANDMOS,4830.388,-5535.131,483.455,0
31/08/2023 11:15,010,LANDMOS,4902.443,-4674.540,438.454,3
01/09/2023 19:30,001,LANDMOS,706.622,-5172.040,476.935,0
31/08/2023 11:30,001,LANDMOS,706.620,-5172.032,476.964,0
31/08/2023 11:30,008,LANDMOS,3346.169,-950.726,210.879,4
31/08/2023 11:30,006,LANDMOS,5485.100,-5178.876,487.338,0
31/08/2023 11:30,002,LANDMOS,5275.380,-5424.405,484.849,0
31/08/2023 11:30,005,LANDMOS,5054.180,-5250.482,474.149,0
31/08/2023 11:30,004,LANDMOS,1225.283,-5030.806,444.575,0
31/08/2023 11:30,003,LANDMOS,1611.300,-5261.443,464.968,0
31/08/2023 11:30,009,LANDMOS,244.674,1101.578,362.457,0
31/08/2023 11:30,007,LANDMOS,4830.342,-5535.121,483.426,0
31/08/2023 11:30,010,LANDMOS,4902.424,-4674.530,438.438,3
01/09/2023 19:30,002,LANDMOS,5275.361,-5424.419,484.832,0
31/08/2023 11:45,001,LANDMOS,706.624,-5172.029,476.980,0
31/08/2023 11:45,003,LANDMOS,1611.314,-5261.437,464.966,0
31/08/2023 11:45,008,LANDMOS,3346.716,-950.364,210.717,4
31/08/2023 11:45,002,LANDMOS,5275.444,-5424.429,484.835,0
31/08/2023 11:45,004,LANDMOS,1225.267,-5030.790,444.620,0
31/08/2023 11:45,006,LANDMOS,5485.151,-5178.890,487.352,0
31/08/2023 11:45,009,LANDMOS,244.674,1101.586,362.461,0
31/08/2023 11:45,005,LANDMOS,5054.183,-5250.484,474.151,0
31/08/2023 11:45,007,LANDMOS,4830.311,-5535.103,483.433,0
31/08/2023 11:45,010,LANDMOS,4902.428,-4674.535,438.431,3
01/09/2023 19:30,003,LANDMOS,1611.305,-5261.448,464.913,0
31/08/2023 12:00,001,LANDMOS,706.613,-5172.021,476.982,0
31/08/2023 12:00,008,LANDMOS,3346.834,-950.186,210.968,4
31/08/2023 12:00,006,LANDMOS,5485.114,-5178.873,487.375,0
31/08/2023 12:00,002,LANDMOS,5275.356,-5424.394,484.886,0
31/08/2023 12:00,005,LANDMOS,5054.179,-5250.479,474.173,0
31/08/2023 12:00,004,LANDMOS,1225.282,-5030.798,444.634,0
31/08/2023 12:00,003,LANDMOS,1611.304,-5261.437,464.984,0
31/08/2023 12:00,007,LANDMOS,4830.305,-5535.105,483.458,0
31/08/2023 12:00,009,LANDMOS,244.674,1101.585,362.466,0
31/08/2023 12:00,010,LANDMOS,4902.398,-4674.524,438.477,3
01/09/2023 19:30,004,LANDMOS,1225.291,-5030.814,444.559,0
31/08/2023 12:15,001,LANDMOS,706.630,-5172.026,476.983,0
31/08/2023 12:15,008,LANDMOS,3346.090,-950.701,210.494,4
31/08/2023 12:15,007,LANDMOS,4830.309,-5535.110,483.449,0
31/08/2023 12:15,002,LANDMOS,5275.361,-5424.402,484.879,0
31/08/2023 12:15,005,LANDMOS,5054.179,-5250.479,474.161,0
31/08/2023 12:15,006,LANDMOS,5485.052,-5178.862,487.359,0
31/08/2023 12:15,004,LANDMOS,1225.290,-5030.801,444.621,0
31/08/2023 12:15,003,LANDMOS,1611.303,-5261.434,464.996,0
31/08/2023 12:15,009,LANDMOS,244.679,1101.589,362.476,0
31/08/2023 12:15,010,LANDMOS,4902.403,-4674.526,438.463,3
01/09/2023 19:30,005,LANDMOS,5054.182,-5250.495,474.102,0
31/08/2023 12:30,008,LANDMOS,3345.570,-951.175,211.477,4
31/08/2023 12:30,002,LANDMOS,5275.354,-5424.396,484.865,0
31/08/2023 12:30,005,LANDMOS,5054.182,-5250.476,474.151,0
